,ID,Pred
0,2018_1104_1112,0.2852524598985491
1,2018_1104_1113,0.4256393097703758
2,2018_1104_1116,0.365548370338082
3,2018_1104_1120,0.309440591131799
4,2018_1104_1124,0.5281717696761378
5,2018_1104_1125,0.3396892069242925
6,2018_1104_1137,0.32430352281759733
7,2018_1104_1138,0.3137662975985555
8,2018_1104_1139,0.440751949556366
9,2018_1104_1149,0.8451642515201147
10,2018_1104_1153,0.247168641535168
11,2018_1104_1155,0.34530921115141316
12,2018_1104_1166,0.4124065360841052
13,2018_1104_1181,0.29686289736192933
14,2018_1104_1190,0.3537678155580112
15,2018_1104_1195,0.4258837483154939
16,2018_1104_1196,0.4244126089295252
17,2018_1104_1199,0.41378695823036066
18,2018_1104_1211,0.24948965561870431
19,2018_1104_1217,0.48001457086297733
20,2018_1104_1222,0.2945613663201576
21,2018_1104_1242,0.28397907249767657
22,2018_1104_1243,0.3783843163207992
23,2018_1104_1246,0.34105020092666727
24,2018_1104_1257,0.44118957886937094
25,2018_1104_1260,0.2741212673554869
26,2018_1104_1274,0.3546249564740859
27,2018_1104_1276,0.28303900687818134
28,2018_1104_1277,0.25507228023089135
29,2018_1104_1281,0.4436587073736394
30,2018_1104_1285,0.31708129211730435
31,2018_1104_1292,0.32590554695023777
32,2018_1104_1301,0.39511570526694195
33,2018_1104_1305,0.2932967325422006
34,2018_1104_1308,0.2933037282934198
35,2018_1104_1311,0.47094807994905835
36,2018_1104_1314,0.3273842712054945
37,2018_1104_1326,0.3227893594950015
38,2018_1104_1328,0.49108868366790215
39,2018_1104_1344,0.4153798344156895
40,2018_1104_1345,0.2743650329981413
41,2018_1104_1348,0.3077212664528155
42,2018_1104_1351,0.3627590833007649
43,2018_1104_1355,0.30443263818001237
44,2018_1104_1364,0.38396281877428784
45,2018_1104_1366,0.8509389647440057
46,2018_1104_1371,0.3958086551773504
47,2018_1104_1380,1.0
48,2018_1104_1382,0.3045890941168906
49,2018_1104_1388,0.2740693977458622
50,2018_1104_1393,0.4469100040727032
51,2018_1104_1395,0.3978548919042666
52,2018_1104_1397,0.3097359886991853
53,2018_1104_1400,0.4767951359655005
54,2018_1104_1401,0.4283501843342379
55,2018_1104_1403,0.3347864030742338
56,2018_1104_1418,0.3031517141310457
57,2018_1104_1436,0.30363260697106387
58,2018_1104_1437,0.24730631785230334
59,2018_1104_1438,0.22996488894458134
60,2018_1104_1439,0.39298601505240177
61,2018_1104_1447,0.37923417430442896
62,2018_1104_1452,0.34218369642277063
63,2018_1104_1455,0.3036472604299659
64,2018_1104_1457,0.5227558597970672
65,2018_1104_1460,0.35400489441119465
66,2018_1104_1462,0.2650983231781158
67,2018_1112_1113,0.6499659394339575
68,2018_1112_1116,0.5907803743465105
69,2018_1112_1120,0.5289224000621509
70,2018_1112_1124,0.7371797326873627
71,2018_1112_1125,0.5631301026795879
72,2018_1112_1137,0.5459922904585526
73,2018_1112_1138,0.5339439505077418
74,2018_1112_1139,0.6638377657356301
75,2018_1112_1149,0.9318665222289411
76,2018_1112_1153,0.4513505003763926
77,2018_1112_1155,0.5692598526380818
78,2018_1112_1166,0.6374998277206213
79,2018_1112_1181,0.5140646103085569
80,2018_1112_1190,0.5783580701618246
81,2018_1112_1195,0.6501933689125515
82,2018_1112_1196,0.6488230551624122
83,2018_1112_1199,0.638814571712326
84,2018_1112_1211,0.4544314950096061
85,2018_1112_1217,0.6981640500813312
86,2018_1112_1222,0.5113036607823608
87,2018_1112_1242,0.4984364874414702
88,2018_1112_1243,0.6039959696507322
89,2018_1112_1246,0.5646208310716446
90,2018_1112_1257,0.6642338126011973
91,2018_1112_1260,0.4861891143364061
92,2018_1112_1274,0.5792715950280949
93,2018_1112_1276,0.4972795425025008
94,2018_1112_1277,0.46177834775664256
95,2018_1112_1281,0.6664624675961888
96,2018_1112_1285,0.537762237816158
97,2018_1112_1292,0.5478015970641358
98,2018_1112_1301,0.6207413898304958
99,2018_1112_1305,0.5097809374940887
100,2018_1112_1308,0.5097893720194083
101,2018_1112_1311,0.6904483175128588
102,2018_1112_1314,0.5494664613834527
103,2018_1112_1326,0.5442768133844262
104,2018_1112_1328,0.7074239991097758
105,2018_1112_1344,0.6403274831191937
106,2018_1112_1345,0.48649507205048137
107,2018_1112_1348,0.5269140861278107
108,2018_1112_1351,0.5878648922834343
109,2018_1112_1355,0.5230528339962035
110,2018_1112_1364,0.6096385600862959
111,2018_1112_1366,0.93465761246995
112,2018_1112_1371,0.6214235201971813
113,2018_1112_1380,1.0
114,2018_1112_1382,0.5232371263544109
115,2018_1112_1388,0.48612399068885703
116,2018_1112_1393,0.6693820045427151
117,2018_1112_1395,0.6234326121712119
118,2018_1112_1397,0.5292667351270998
119,2018_1112_1400,0.695438298793619
120,2018_1112_1401,0.6524824857068774
121,2018_1112_1403,0.5577262744452863
122,2018_1112_1418,0.5215417676854255
123,2018_1112_1436,0.5221095309888392
124,2018_1112_1437,0.4515336944749751
125,2018_1112_1438,0.42801495855257055
126,2018_1112_1439,0.6186393544369022
127,2018_1112_1447,0.6048594869281952
128,2018_1112_1452,0.5658592975546057
129,2018_1112_1455,0.5221268226505086
130,2018_1112_1457,0.7329499140317864
131,2018_1112_1460,0.5786108982784883
132,2018_1112_1462,0.47475120642660734
133,2018_1113_1116,0.4374058149549992
134,2018_1113_1120,0.37681933778025234
135,2018_1113_1124,0.601680429867013
136,2018_1113_1125,0.40974630447725596
137,2018_1113_1137,0.39307642494527406
138,2018_1113_1138,0.38156649822786914
139,2018_1113_1139,0.5153837460614219
140,2018_1113_1149,0.8804639940376358
141,2018_1113_1153,0.3070164147395581
142,2018_1113_1155,0.4157955135749309
143,2018_1113_1166,0.486413236202564
144,2018_1113_1181,0.36294233592269226
145,2018_1113_1190,0.4248602493855118
146,2018_1113_1195,0.5002499487509477
147,2018_1113_1196,0.49874508500278575
148,2018_1113_1199,0.48783571426571154
149,2018_1113_1211,0.30966825380416707
150,2018_1113_1217,0.5547004289532934
151,2018_1113_1222,0.36039108123526603
152,2018_1113_1242,0.34861253348254817
153,2018_1113_1243,0.45097146271977284
154,2018_1113_1246,0.41121318672751156
155,2018_1113_1257,0.5158271288545357
156,2018_1113_1260,0.33756886000930936
157,2018_1113_1274,0.42577615150669784
158,2018_1113_1276,0.3475623666304231
159,2018_1113_1277,0.31603042303515744
160,2018_1113_1281,0.5183265190845687
161,2018_1113_1285,0.38519572932577295
162,2018_1113_1292,0.39481966997439155
163,2018_1113_1301,0.46849348439126165
164,2018_1113_1305,0.3589876461586706
165,2018_1113_1308,0.3589954128308189
166,2018_1113_1311,0.5457037088753897
167,2018_1113_1314,0.3964271917795009
168,2018_1113_1326,0.3914271736394568
169,2018_1113_1328,0.5656233154862871
170,2018_1113_1344,0.48947562987295906
171,2018_1113_1345,0.337842787142346
172,2018_1113_1348,0.37492890070596685
173,2018_1113_1351,0.43444367812225654
174,2018_1113_1355,0.37130725932419417
175,2018_1113_1364,0.4568336473996934
176,2018_1113_1366,0.8851011576876812
177,2018_1113_1371,0.4692152978964407
178,2018_1113_1380,1.0
179,2018_1113_1382,0.3714797287304879
180,2018_1113_1388,0.3375105669999634
181,2018_1113_1393,0.5216119740628277
182,2018_1113_1395,0.47134497593823893
183,2018_1113_1397,0.37714392789262535
184,2018_1113_1400,0.5515113637485634
185,2018_1113_1401,0.502769906022648
186,2018_1113_1403,0.40445169797225244
187,2018_1113_1418,0.3698945897848498
188,2018_1113_1436,0.37042507740741176
189,2018_1113_1437,0.30717382516087205
